OptionID,QuestionID,SourceScoreID,ResponseOption,OptionScore,ItemScoringMode,ScoreGroupID,IsExclusionOption,DisplayOrder,IsActive
OPT-MW-007-02,MW-007,MW-007a,1,0.33,SingleResponse,SR-MW-007-MW-007A,False,20,True
OPT-MW-007-03,MW-007,MW-007a,2,0.66,SingleResponse,SR-MW-007-MW-007A,False,30,True
OPT-MW-007-04,MW-007,MW-007a,3+,1,SingleResponse,SR-MW-007-MW-007A,False,40,True
OPT-MW-007-05,MW-007,MW-007a,Unable to assess (note reason),,SingleResponse,SR-MW-007-MW-007A,True,50,True
OPT-MW-008-01,MW-008,MW-008a,Yes,1,SingleResponse,SR-MW-008-MW-008A,False,10,True
OPT-MW-008-02,MW-008,MW-008a,No,,SingleResponse,SR-MW-008-MW-008A,False,20,True
OPT-MW-008-03,MW-008,MW-008a,Unable to assess (note reason),,SingleResponse,SR-MW-008-MW-008A,True,30,True
OPT-MW-009-01,MW-009,MW-009a,Counselor offices,1,SingleResponse,SR-MW-009-MW-009A,False,10,True
OPT-MW-009-02,MW-009,MW-009b,Core counseling,1,SingleResponse,SR-MW-009-MW-009B,False,20,True
OPT-MW-009-03,MW-009,MW-009c,Wellness room,1,SingleResponse,SR-MW-009-MW-009C,False,30,True
OPT-MW-010-01,MW-010,MW-010a,Counselor offices,1,SingleResponse,SR-MW-010-MW-010A,False,10,True
OPT-MW-010-02,MW-010,MW-010b,Conference room,1,SingleResponse,SR-MW-010-MW-010B,False,20,True
OPT-MW-010-03,MW-010,MW-010c,Small group rooms,1,SingleResponse,SR-MW-010-MW-010C,False,30,True
OPT-MW-010-04,MW-010,MW-010d,Wellness room,1,SingleResponse,SR-MW-010-MW-010D,False,40,True
OPT-MW-011-01,MW-011,MW-011a,Professional School Counselor office,1,SingleResponse,SR-MW-011-MW-011A,False,10,True
OPT-MW-011-02,MW-011,MW-011b,Core counseling,1,SingleResponse,SR-MW-011-MW-011B,False,20,True
OPT-MW-011-03,MW-011,MW-011c,Wellness room,1,SingleResponse,SR-MW-011-MW-011C,False,30,True
OPT-MW-011-04,MW-011,MW-011d,School mental health center,1,SingleResponse,SR-MW-011-MW-011D,False,40,True
OPT-MW-011-05,MW-011,MW-011e,Extended school counseling space,1,SingleResponse,SR-MW-011-MW-011E,False,50,True
OPT-MW-011-06,MW-011,MW-011f,Primary light fixtures throughout the suite are LED,1,SingleResponse,SR-MW-011-MW-011F,False,60,True
OPT-MW-012-01,MW-012,MW-012a,Professional School Counselor offices,1,SingleResponse,SR-MW-012-MW-012A,False,10,True
OPT-MW-012-02,MW-012,MW-012c,Conference room,1,SingleResponse,SR-MW-012-MW-012C,False,20,True
OPT-MW-012-03,MW-012,MW-012d,Wellness room,1,SingleResponse,SR-MW-012-MW-012D,False,30,True
OPT-MW-012-04,MW-012,MW-012e,School mental health center,1,SingleResponse,SR-MW-012-MW-012E,False,40,True
OPT-MW-012-05,MW-012,MW-012f,Extended school counseling space,1,SingleResponse,SR-MW-012-MW-012F,False,50,True
OPT-MW-012-06,MW-012,MW-012g,Extended school counselor office,1,SingleResponse,SR-MW-012-MW-012G,False,60,True
OPT-MW-012-07,MW-012,MW-012h,Small group room,1,SingleResponse,SR-MW-012-MW-012H,False,70,True
OPT-MW-012-08,MW-012,MW-012j,Primary light fixtures throughout the suite are LED,1,SingleResponse,SR-MW-012-MW-012J,False,80,True
OPT-MW-013-01,MW-013,MW-013a,Professional School Counselor offices,1,SingleResponse,SR-MW-013-MW-013A,False,10,True
