SubcategoryID,CategoryID,ScoreFocusArea,SubcategoryName,SubcategoryWeight,WeightSource,DisplayOrder,IsActive
SUB-MAIN-ADMIN-S-AMENITIES-STORAGE-B196A7,CAT-MAIN-ADMIN-SUITE-AMENITIES-E04AEB,Arrival/Administration,Storage,6,Source,10,True
SUB-MAIN-ADMIN-S-FUNCTION-ADJACENCY-AND-ACCESS-80EAD5,CAT-MAIN-ADMIN-SUITE-FUNCTION-8447F5,Arrival/Administration,Adjacency and Access,3,Source,20,True
SUB-MAIN-ADMIN-S-AMENITIES-FURNITURE-AND-EQUIPM-29EAB6,CAT-MAIN-ADMIN-SUITE-AMENITIES-E04AEB,Arrival/Administration,Furniture and Equipment,9,Source,20,True
SUB-MAIN-ADMIN-S-OCCUPANT-E-SAFETY-AND-SUPERVISI-D2D3B4,CAT-MAIN-ADMIN-SUITE-OCCUPANT-EXPERIENCE-54985E,Arrival/Administration,Safety and Supervision,12,Source,20,True
SUB-MAIN-ADMIN-S-INFRASTRUC-FLOORING-AND-SURFACE-4918C8,CAT-MAIN-ADMIN-SUITE-INFRASTRUCTURE-7629D5,Arrival/Administration,Flooring and Surface Finishes,0,Inventory,20,True
SUB-EARLY-CHILDH-FUNCTION-LAYOUT-AND-FLEXIBILI-FA17D6,CAT-EARLY-CHILDHOOD--FUNCTION-644BC4,Studios,Layout and Flexibility,12,Source,10,True
SUB-EARLY-CHILDH-INFRASTRUC-UTILITIES-AND-TECHNO-4ADEFF,CAT-EARLY-CHILDHOOD--INFRASTRUCTURE-6A12F4,Studios,Utilities and Technology,12,Source,10,True
SUB-EARLY-CHILDH-OCCUPANT-E-AESTHETICS-BCC7F8,CAT-EARLY-CHILDHOOD--OCCUPANT-EXPERIENCE-CE4284,Studios,Aesthetics,6,Source,10,True
SUB-EARLY-CHILDH-OCCUPANT-E-OCCUPANT-COMFORT-C235BE,CAT-EARLY-CHILDHOOD--OCCUPANT-EXPERIENCE-CE4284,Studios,Occupant Comfort,12,Source,20,True
SUB-EARLY-CHILDH-AMENITIES-DISPLAY-AND-PRESENTA-620573,CAT-EARLY-CHILDHOOD--AMENITIES-C58227,Studios,Display and Presentation,9,Source,10,True
SUB-EARLY-CHILDH-AMENITIES-STORAGE-85BD96,CAT-EARLY-CHILDHOOD--AMENITIES-C58227,Studios,Storage,9,Source,20,True
SUB-EARLY-CHILDH-OCCUPANT-E-SAFETY-AND-SUPERVISI-87B031,CAT-EARLY-CHILDHOOD--OCCUPANT-EXPERIENCE-CE4284,Studios,Safety and Supervision,12,Source,30,True
SUB-EARLY-CHILDH-AMENITIES-FURNITURE-AND-EQUIPM-46596C,CAT-EARLY-CHILDHOOD--AMENITIES-C58227,Studios,Furniture and Equipment,12,Source,30,True
SUB-EARLY-CHILDH-INFRASTRUC-FLOORING-AND-SURFACE-FDC50B,CAT-EARLY-CHILDHOOD--INFRASTRUCTURE-6A12F4,Studios,Flooring and Surface Finishes,6,Source,20,True
SUB-EARLY-CHILDH-FUNCTION-ADJACENCY-AND-ACCESS-86EA2B,CAT-EARLY-CHILDHOOD--FUNCTION-644BC4,Studios,Adjacency and Access,12,Source,20,True
SUB-EARLY-CHILDH-FUNCTION-LAYOUT-AND-FLEXIBILI-6C9CCC,CAT-EARLY-CHILDHOOD--FUNCTION-65DB20,Special Education,Layout and Flexibility,12,Source,10,True
SUB-EARLY-CHILDH-INFRASTRUC-UTILITIES-AND-TECHNO-46FA3F,CAT-EARLY-CHILDHOOD--INFRASTRUCTURE-8F2D85,Special Education,Utilities and Technology,12,Source,10,True
SUB-EARLY-CHILDH-OCCUPANT-E-AESTHETICS-B65CF6,CAT-EARLY-CHILDHOOD--OCCUPANT-EXPERIENCE-BD637C,Special Education,Aesthetics,6,Source,10,True
SUB-EARLY-CHILDH-OCCUPANT-E-OCCUPANT-COMFORT-739B63,CAT-EARLY-CHILDHOOD--OCCUPANT-EXPERIENCE-BD637C,Special Education,Occupant Comfort,12,Source,20,True
SUB-EARLY-CHILDH-AMENITIES-DISPLAY-AND-PRESENTA-A65148,CAT-EARLY-CHILDHOOD--AMENITIES-2806E6,Special Education,Display and Presentation,9,Source,10,True
SUB-EARLY-CHILDH-AMENITIES-STORAGE-3C81F7,CAT-EARLY-CHILDHOOD--AMENITIES-2806E6,Special Education,Storage,9,Source,20,True
