CategoryID,ScoreFocusArea,SpaceTypeID,CategoryName,CategoryWeight,WeightSource,DisplayOrder,IsActive
CAT-EARLY-CHILDHOOD--AMENITIES-C58227,Studios,SPT-EARLY-CHILDHOOD-STUDIO-49159F,Amenities,9,Source,50,True
CAT-EARLY-CHILDHOOD--FUNCTION-65DB20,Special Education,SPT-EARLY-CHILDHOOD-SPECIAL-EDUCAT-0E3811,Function,12,Source,20,True
CAT-EARLY-CHILDHOOD--INFRASTRUCTURE-8F2D85,Special Education,SPT-EARLY-CHILDHOOD-SPECIAL-EDUCAT-0E3811,Infrastructure,6,Source,30,True
CAT-EARLY-CHILDHOOD--OCCUPANT-EXPERIENCE-BD637C,Special Education,SPT-EARLY-CHILDHOOD-SPECIAL-EDUCAT-0E3811,Occupant Experience,12,Source,40,True
CAT-EARLY-CHILDHOOD--AMENITIES-2806E6,Special Education,SPT-EARLY-CHILDHOOD-SPECIAL-EDUCAT-0E3811,Amenities,9,Source,50,True
CAT-MAKER-SPACE-FUNCTION-316497,Studios,SPT-MAKER-SPACE-57653D,Function,12,Source,20,True
CAT-MAKER-SPACE-INFRASTRUCTURE-2B381C,Studios,SPT-MAKER-SPACE-57653D,Infrastructure,9,Source,30,True
CAT-MAKER-SPACE-OCCUPANT-EXPERIENCE-C245CA,Studios,SPT-MAKER-SPACE-57653D,Occupant Experience,12,Source,40,True
CAT-MAKER-SPACE-AMENITIES-ED6EAC,Studios,SPT-MAKER-SPACE-57653D,Amenities,9,Source,50,True
CAT-SPECIAL-EDUCATIO-FUNCTION-27F775,Special Education,SPT-SPECIAL-EDUCATION-SUITE-87FB39,Function,3,Source,20,True
CAT-SPECIAL-EDUCATIO-OCCUPANT-EXPERIENCE-9EECD6,Special Education,SPT-SPECIAL-EDUCATION-SUITE-87FB39,Occupant Experience,3,Source,30,True
CAT-SPECIAL-EDUCATIO-AMENITIES-2963B9,Special Education,SPT-SPECIAL-EDUCATION-SUITE-87FB39,Amenities,3,Source,40,True
CAT-SENSORY-MOTOR-LA-FUNCTION-DE0409,Special Education,SPT-SENSORY-MOTOR-LAB-3CE0F0,Function,3,Source,20,True
CAT-SENSORY-MOTOR-LA-INFRASTRUCTURE-81347E,Special Education,SPT-SENSORY-MOTOR-LAB-3CE0F0,Infrastructure,3,Source,30,True
CAT-SENSORY-MOTOR-LA-OCCUPANT-EXPERIENCE-BA8837,Special Education,SPT-SENSORY-MOTOR-LAB-3CE0F0,Occupant Experience,3,Source,40,True
CAT-SENSORY-MOTOR-LA-AMENITIES-371CAF,Special Education,SPT-SENSORY-MOTOR-LAB-3CE0F0,Amenities,3,Source,50,True
CAT-LIFE-SKILLS-STUD-FUNCTION-F09415,Special Education,SPT-LIFE-SKILLS-STUDIO-923127,Function,3,Source,20,True
CAT-LIFE-SKILLS-STUD-INFRASTRUCTURE-8CC0F1,Special Education,SPT-LIFE-SKILLS-STUDIO-923127,Infrastructure,3,Source,30,True
