OptionID,QuestionID,SourceScoreID,ResponseOption,OptionScore,ItemScoringMode,ScoreGroupID,IsExclusionOption,DisplayOrder,IsActive
OPT-OD-008-05,OD-008,OD-008e,Other (please note),,SingleResponse,SR-OD-008-OD-008E,False,50,True
OPT-OD-009-01,OD-009,OD-009a,Artwork,,SingleResponse,SR-OD-009-OD-009A,False,10,True
OPT-OD-009-02,OD-009,OD-009b,Buddy bench,,SingleResponse,SR-OD-009-OD-009B,False,20,True
OPT-OD-009-03,OD-009,OD-009c,Educational signage,,SingleResponse,SR-OD-009-OD-009C,False,30,True
OPT-OD-009-04,OD-009,OD-009d,Flexible seating,,SingleResponse,SR-OD-009-OD-009D,False,40,True
OPT-OD-009-05,OD-009,OD-009e,Fixed seating,,SingleResponse,SR-OD-009-OD-009E,False,50,True
OPT-OD-009-06,OD-009,OD-009f,Shade trees,,SingleResponse,SR-OD-009-OD-009F,False,60,True
OPT-OD-009-07,OD-009,OD-009g,Storage,,SingleResponse,SR-OD-009-OD-009G,False,70,True
OPT-OD-009-08,OD-009,OD-009h,Theming,,SingleResponse,SR-OD-009-OD-009H,False,80,True
OPT-OD-010-01,OD-010,OD-010a,Early childhood playground area,1,SingleResponse,SR-OD-010-OD-010A,False,10,True
OPT-OD-010-02,OD-010,OD-010b,Elementary playground area,1,SingleResponse,SR-OD-010-OD-010B,False,20,True
OPT-OD-010-03,OD-010,OD-010c,Hard play area,1,SingleResponse,SR-OD-010-OD-010C,False,30,True
OPT-OD-011-01,OD-011,OD-011a,Yes,1,SingleResponse,SR-OD-011-OD-011A,False,10,True
OPT-OD-011-02,OD-011,OD-011a,No,,SingleResponse,SR-OD-011-OD-011A,False,20,True
OPT-OD-011-03,OD-011,OD-011a,Unable to assess (note reason),,SingleResponse,SR-OD-011-OD-011A,True,30,True
OPT-OD-012-01,OD-012,OD-012a,Yes,1,SingleResponse,SR-OD-012-OD-012A,False,10,True
OPT-OD-012-02,OD-012,OD-012b,No,0,SingleResponse,SR-OD-012-OD-012B,False,20,True
OPT-OD-012-03,OD-012,OD-012c,Unable to assess (note reason),,SingleResponse,SR-OD-012-OD-012C,True,30,True
OPT-OD-013-01,OD-013,OD-013a,Early childhood playground area,1,SingleResponse,SR-OD-013-OD-013A,False,10,True
OPT-OD-013-02,OD-013,OD-013b,Elementary playground area,1,SingleResponse,SR-OD-013-OD-013B,False,20,True
OPT-OD-013-03,OD-013,OD-013c,Hard play area,1,SingleResponse,SR-OD-013-OD-013C,False,30,True
OPT-OD-013-04,OD-013,OD-013d,Play field,1,SingleResponse,SR-OD-013-OD-013D,False,40,True
OPT-OD-014-01,OD-014,OD-014a,Hard play area,1,SingleResponse,SR-OD-014-OD-014A,False,10,True
OPT-OD-014-02,OD-014,OD-014b,Play field,1,SingleResponse,SR-OD-014-OD-014B,False,20,True
OPT-OD-015-01,OD-015,OD-015a,Good - directly adjacent to the gym or dining commons,1,SingleResponse,SR-OD-015-OD-015A,False,10,True
OPT-OD-015-02,OD-015,OD-015a,Fair - within approx. 150 feet of the gym or dining commons,0.5,SingleResponse,SR-OD-015-OD-015A,False,20,True
OPT-OD-015-03,OD-015,OD-015a,Poor - more than approximately 150 feet from both the gym and dining commons,0,SingleResponse,SR-OD-015-OD-015A,False,30,True
OPT-OD-015-04,OD-015,OD-015a,Unable to assess (note reason),,SingleResponse,SR-OD-015-OD-015A,True,40,True
OPT-OD-016-01,OD-016,OD-016a,None,0,SingleResponse,SR-OD-016-OD-016A,False,10,True
OPT-OD-016-02,OD-016,OD-016a,1,0.25,SingleResponse,SR-OD-016-OD-016A,False,20,True
OPT-OD-016-03,OD-016,OD-016a,2,0.5,SingleResponse,SR-OD-016-OD-016A,False,30,True
OPT-OD-016-04,OD-016,OD-016a,3,0.75,SingleResponse,SR-OD-016-OD-016A,False,40,True
OPT-OD-016-05,OD-016,OD-016a,4+,1,SingleResponse,SR-OD-016-OD-016A,False,50,True
OPT-OD-016-06,OD-016,OD-016a,Unable to assess (note reason),,SingleResponse,SR-OD-016-OD-016A,True,60,True
OPT-OD-017-01,OD-017,OD-017a,Seating for at least 30 students (incl. seat walls),1,SingleResponse,SR-OD-017-OD-017A,False,10,True
OPT-OD-017-02,OD-017,OD-017b,Shade elements,1,SingleResponse,SR-OD-017-OD-017B,False,20,True
OPT-OD-017-03,OD-017,OD-017c,Writable surfaces,1,SingleResponse,SR-OD-017-OD-017C,False,30,True
OPT-OD-018-01,OD-018,OD-018a,Amphitheater or tiered gathering area,1,SingleResponse,SR-OD-018-OD-018A,False,10,True
OPT-OD-018-02,OD-018,OD-018b,Artwork,1,SingleResponse,SR-OD-018-OD-018B,False,20,True
OPT-OD-018-03,OD-018,OD-018c,Dry creek bed,1,SingleResponse,SR-OD-018-OD-018C,False,30,True
OPT-OD-018-04,OD-018,OD-018d,Educational signage,1,SingleResponse,SR-OD-018-OD-018D,False,40,True
OPT-OD-018-05,OD-018,OD-018e,Hardscape learning surface,1,SingleResponse,SR-OD-018-OD-018E,False,50,True
OPT-OD-018-06,OD-018,OD-018f,Learning pond or water feature,1,SingleResponse,SR-OD-018-OD-018F,False,60,True
OPT-OD-018-07,OD-018,OD-018g,Mulch planting beds,1,SingleResponse,SR-OD-018-OD-018G,False,70,True
OPT-OD-018-08,OD-018,OD-018h,Natural grass lawn,1,SingleResponse,SR-OD-018-OD-018H,False,80,True
OPT-OD-018-09,OD-018,OD-018j,Pollinator plantings,1,SingleResponse,SR-OD-018-OD-018J,False,90,True
OPT-OD-018-10,OD-018,OD-018k,Projection surface,1,SingleResponse,SR-OD-018-OD-018K,False,100,True
OPT-OD-018-11,OD-018,OD-018l,Sensory path,1,SingleResponse,SR-OD-018-OD-018L,False,110,True
OPT-OD-018-12,OD-018,OD-018m,Shade trees,1,SingleResponse,SR-OD-018-OD-018M,False,120,True
OPT-OD-018-13,OD-018,OD-018n,Storage / shed,1,SingleResponse,SR-OD-018-OD-018N,False,130,True
OPT-OD-018-14,OD-018,OD-018o,Synthetic turf surfacing,1,SingleResponse,SR-OD-018-OD-018O,False,140,True
OPT-OD-018-15,OD-018,OD-018p,Theming,1,SingleResponse,SR-OD-018-OD-018P,False,150,True
OPT-OD-018-16,OD-018,OD-018q,Worktables,1,SingleResponse,SR-OD-018-OD-018Q,False,160,True
OPT-OD-018-17,OD-018,OD-018r,Observation area,1,SingleResponse,SR-OD-018-OD-018R,False,170,True
OPT-OD-019-01,OD-019,OD-019a,Power outlets,1,SingleResponse,SR-OD-019-OD-019A,False,10,True
OPT-OD-019-02,OD-019,OD-019b,Wi-Fi access via a nearby wireless access point (WAP),1,SingleResponse,SR-OD-019-OD-019B,False,20,True
OPT-OD-020-01,OD-020,OD-020a,Yes,1,SingleResponse,SR-OD-020-OD-020A,False,10,True
OPT-OD-020-02,OD-020,OD-020a,No,0,SingleResponse,SR-OD-020-OD-020A,False,20,True
OPT-OD-020-03,OD-020,OD-020a,Unable to assess (note reason),,SingleResponse,SR-OD-020-OD-020A,True,30,True
OPT-OD-021-01,OD-021,OD-021a,Composting bin,,SingleResponse,SR-OD-021-OD-021A,False,10,True
OPT-OD-021-02,OD-021,OD-021b,Storage / shed,,SingleResponse,SR-OD-021-OD-021B,False,20,True
OPT-OD-021-03,OD-021,OD-021c,Raised garden beds,,SingleResponse,SR-OD-021-OD-021C,False,30,True
